Source           Destination              Packets               Bytes
 170.135.199.195  147.249.46.70                   34               10203
 170.135.202.29   156.55.51.78                 13320              532800
 156.55.51.78     170.135.202.29               13339              800340
 156.36.230.153   170.132.25.222              359987            43701728
 170.132.25.222   156.36.230.153              339088            46883447
 10.69.12.94      170.135.199.195                  3                 528
 170.132.14.4     156.36.200.98                26406             1474076
 156.36.200.98    170.132.14.4                 50147            63163155
 170.132.26.43    170.135.199.195           16040146          1376116677
 170.135.199.195  170.132.26.43              9169221           969084820
 156.36.169.75    170.132.91.23                16495             9805926
 170.132.91.23    156.36.169.75                11552             4464424
 170.132.26.36    170.135.199.195                 26               12488
 170.135.199.195  170.132.26.36                   25                3570
 208.252.13.123   156.36.205.20                 1345               84390
 156.36.205.20    208.252.13.123                2619             3198804
 170.132.24.35    170.135.199.195                 32                5658
 170.135.199.195  170.132.24.35                   34                5039
 10.69.12.86      170.135.199.195                  6                1032
 168.162.95.154   156.36.208.231             4574226           815768610
 156.36.208.231   168.162.95.154             3567650           219324803
 170.132.24.95    170.135.199.195            1837217          2046979886
 170.135.199.195  170.132.24.95              1665374           211248659
 170.132.24.94    170.135.199.195            4067869          4059009761
 170.135.199.195  170.132.24.94              3762647           615109172
 168.162.95.146   156.36.206.240            11489192          3996282527
 156.36.206.240   168.162.95.146             8151091           584307633
 170.132.24.21    156.36.205.20                 3132             2889519
 156.36.205.20    170.132.24.21                 2496              282936
 170.132.24.21    156.36.205.21                  266               84906
 156.36.205.21    170.132.24.21                  294               82708
 168.162.95.146   156.36.208.233             5380041          2147834532
 156.36.208.233   168.162.95.146             2750657           151070444
 156.36.239.4     170.132.26.47                    5                 876
 170.132.26.47    156.36.239.4                     5                 213
 168.162.95.146   156.36.208.231             5120213          1833517910
 156.36.208.231   168.162.95.146             2608108           143792836
 170.135.199.195  170.132.26.84                  750               39000
 168.162.95.154   156.36.206.240            27858087          2852418299
 156.36.206.240   168.162.95.154            17579074          1842823751
 156.36.204.247   10.255.45.17                 12333             9133203
 170.135.199.195  170.132.223.147                  8                 416
 156.36.198.250   170.132.235.10                4355              745488
 170.132.235.10   156.36.198.250                5181              457907
 168.162.95.154   156.36.208.233             3917704            36606597
 156.36.208.233   168.162.95.154             3211643           199050814
 156.36.198.250   170.132.235.15              408268            52962285
 170.132.235.15   156.36.198.250              494517            23829531
 170.132.91.12    170.135.199.195                 36               29929
 170.135.199.195  170.132.91.12                   40                2753
 168.162.95.154   156.36.228.195              199706           256027027
 156.36.228.195   168.162.95.154              102882             4844542
 168.162.95.154   156.36.228.193              260538           333687542
 156.36.228.193   168.162.95.154              133746             6447488
 156.36.48.192    170.132.26.47                   17                 692
 170.132.26.47    156.36.48.192                   17                 712
 168.162.95.154   156.36.206.236             1080541          1037468749
 156.36.206.236   168.162.95.154             1169173           220449637
 170.132.24.74    170.135.199.195            8634891          1162055918
 170.135.199.195  170.132.24.74              6606143           518993853
 170.135.199.195  208.252.13.95                   33                1716
 168.162.95.146   156.36.228.195             1528621          1983400163
 156.36.228.195   168.162.95.146              770213            31846972
 168.162.95.146   156.36.228.194                  77               48042
 156.36.228.194   168.162.95.146                  67               13886
 168.162.95.146   156.36.228.193             2203052          2858772086
 156.36.228.193   168.162.95.146             1102604            45489208
 156.36.238.224   170.132.154.94               53564             2695257
 170.132.154.94   156.36.238.224              102692           132001641
 156.36.222.144   208.238.11.157                   3                 152
 170.135.202.110  156.55.51.78                    16                 880
 156.55.51.78     170.135.202.110                 16                1006
 156.36.239.51    170.132.26.48               133714            41216044
 170.132.26.48    156.36.239.51                99997            20709054
 170.132.154.180  156.36.239.63               257167            72956176
 156.36.239.63    170.132.154.180             472433           357880471
 156.55.51.78     170.135.202.88                3864              231840
 170.135.2.11     208.252.13.111              121357             5245680
 208.252.13.111   170.135.2.11                220988           285813671
 156.36.239.57    170.132.26.48               291426           259420337
 170.132.26.48    156.36.239.57               182962            37514705
 100.120.138.212  170.135.199.195                 47                2632
 168.162.188.129  156.36.178.86                    3                 132
 156.36.178.86    168.162.188.129                  4                 180
 100.120.138.211  170.135.199.195                 44                2464
 147.249.130.173  170.135.199.195             335467           266314566
 170.135.199.195  147.249.130.173             258513            25584881
 170.135.202.65   156.55.51.78                 12636              505440
 156.55.51.78     170.135.202.65               12653              759180
 170.132.25.110   170.135.199.195               1626             1163671
 170.135.199.195  170.132.25.110                1144              133942
 170.132.113.6    170.135.199.195           10495719           859228746
 170.135.199.195  170.132.113.6              8271383          1799303950
 156.55.84.167    170.135.199.195            5799971          2066739714
 170.135.199.195  156.55.84.167              5913550           600967431
 156.36.204.246   147.249.148.14                5104             2941732
 147.249.148.14   156.36.204.246                3244              955895
 147.249.148.13   156.36.204.245              155865            52523068
 156.36.204.245   147.249.148.13              246824           149964758
 156.36.239.63    170.132.26.47                   10                1752
 170.132.26.47    156.36.239.63                   10                 426
 170.132.113.5    170.135.199.195           45124977           249833033
 170.135.199.195  170.132.113.5             37325697          4077502564
 156.36.205.20    168.162.204.210               1034              115090
 168.162.204.210  156.36.205.20                  907              444438
 156.36.214.221   168.162.95.154               57882             3705752
 168.162.95.154   156.36.214.221               40552            25099722
 156.55.84.167    170.135.2.11                 37483             2105664
 170.135.2.11     156.55.84.167                72596            87943650
 10.0.208.96      156.36.230.153                2952              165312
 170.132.24.97    170.135.199.195            1965663           850857929
 170.135.199.195  170.132.24.97              1950728           282926859
 170.132.24.96    170.135.199.195            1120110           603996025
 170.135.199.195  170.132.24.96              1107337           191308510
 208.238.11.157   170.135.199.195                 79                6313
 170.135.199.195  208.238.11.157                 108                8773
 156.55.51.78     170.135.202.179               7110              426600
 100.120.138.211  156.36.230.153                   4                 224
 168.162.189.39   156.36.200.98                  240               76187
